,eq,support,num_points
0,x_0**3+x_0**2+x_0,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
1,x_0**4+x_0**3+x_0**2+x_0,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
2,x_0**5+x_0**4+x_0**3+x_0**2+x_0,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
3,x_0**6+x_0**5+x_0**4+x_0**3+x_0**2+x_0,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
4,sin(x_0**2)*cost(x_0)-1,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
5,sin(x_0)+sin(x_0+x_0**2),"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
6,log(x_0+1)+log(x_0**2+1),"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
7,sqrt(x_0),"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
8,sin(x_0)+sin(x_1**2),"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
9,2*sin(x_0)*cos(x_1),"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
10,x_0**x_1,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
11,x_0**4-x_0**3+0.5*x_1**2-x_1,"{'x_0': {'max': 1, 'min': 0}, 'x_1': {'max': 1, 'min': 0}}",20
